uuid,filename,size,sha,repo,commit,date,author,tags
ffef4a99-d2a0-4221-6c08-3cf10628e1eb,staticfile-buildpack/staticfile-buildpack-cflinuxfs2-v1.4.35.zip,5250071,03c6dd1b4c834810c8fd386fc6631720d277e32f,staticfile-buildpack-release,a9d3fbcdd7730bd7312bfbcbe2f441c7c1d17dd2,2018-11-21 21:22:40 +0000,CF Buildpacks Team CI Server,"1.4.35,1.4.37,1.4.39,1.4.40,1.4.41"
ffdd5b52-b413-4a82-6a0a-c7ad65b3eaab,packages/cflinuxfs3/71d293a13d2d,0,sha256:68562ef718d7ac565b2d9a4289c8ec1db844e0499a024c1a65fa85c091a9f49d,cflinuxfs3-release,final-build,,,
ffd79791-b317-4d96-5348-0ebd29c25e57,packages/hwc-buildpack-windows2016/0250a1fe6329,0,7c77c13d33c2aa03dc40b53568a68d0dcf2f7665,hwc-buildpack-release,final-build,,,
ffd13596-b04a-4dc6-71fd-bd1a61e510d1,packages/php-buildpack-cflinuxfs4/331b064d7a60,0,sha256:6fbc17e91c1dcac351a555ada466dfd0b527d0a36790bc6bf26eb154785f90d8,php-buildpack-release,final-build,,,
ffcc7354-a1c0-4eb8-53e1-765150ee7b54,nodejs-buildpack/nodejs_buildpack-cflinuxfs3-v1.7.22.zip,5506218,sha256:8f489559791f47f0f1f0b507fa0bbce332a1a87e923b1fc6e189ceef4ae74e50,nodejs-buildpack-release,dae084b159a3203cd746f9e14608a2fe27c8beab,2020-06-17 07:02:58 +0000,Buildpacks Releng CI,"1.7.24,1.7.25,1.7.26,1.7.29,1.7.32"
ffc3985c-709c-4d5b-75ff-dc8dd5560509,staticfile-buildpack/staticfile_buildpack-cflinuxfs3-v1.5.37.zip,5409649,sha256:ccfbb1d0449436afd7663055ec466cdb45b2a43a0248a4c9825eb8d383571191,staticfile-buildpack-release,efe1dd599afe3b001ee344af50212c1ecd70ef27,2023-01-17 08:03:11 +0000,Buildpacks Releng CI,"1.5.37,1.5.38,1.5.39,1.6.0,1.6.1"
ffbb8a86-7657-4a14-73e6-1b49f250763e,rootfs/cflinuxfs3-0.358.0.tar.gz,353111590,sha256:b20664b8f2eed77410347b2f632b7091cc377f16e35f83a1f4c7fe8766e0f1c9,cflinuxfs3-release,142d61787de906cc976d6d1e9ccf75bd2a43023b,2023-03-29 19:20:19 +0000,CF Buildpacks Team CI Server,"v0.358.0,v0.359.0,v0.360.0,v0.361.0,v0.362.0"
ff9e0a0a-35aa-46b1-4f7e-fd0a0f856da1,dotnet-core-buildpack/dotnet-core_buildpack-cflinuxfs3-v2.3.10.zip,5726706,sha256:99c610846b3b625a3aec034a3d63f330dd31f5c11fa18b9b4f87cc145dd0c458,dotnet-core-buildpack-release,5d67781ffc128c3edeb22395f4f13457ff48c561,2020-05-20 07:01:41 +0000,Buildpacks Releng CI,"2.3.10,2.3.11,2.3.12,2.3.13,2.3.14"
ff742650-222e-48a2-8f60-04189aa8a973,packages/hwc-buildpack-windows/2d62fff092bd,0,70a224c5a118590c980fd68ddc9159137492e866,hwc-buildpack-release,final-build,,,
ff727efb-39a0-4fd3-66dc-1983c90e6dac,packages/cflinuxfs4/0e5fdaa07fd8,0,sha256:68c4782501aeffd73d53873b72f61ef7aa30997774ef55e0f3e327baef92d0b2,cflinuxfs4-release,final-build,,,
ff5fa3d8-7c5a-4612-7a6e-e406dc343fcc,hwc-buildpack/hwc-buildpack-v2.3.14.zip,2520231,15cf4ad2927e586be8cf7428e5ada28222b51178,hwc-buildpack-release,6ae5d3dde4e9048cd2f52787974499d9ea6a66ec,2018-02-08 15:13:49 +0000,CF Buildpacks Team CI Server,"2.3.14,2.3.15,2.3.16,2.3.17,2.3.18"
ff5d935b-9508-48e7-6318-3a345f3e6119,packages/ruby-buildpack-cflinuxfs3/7c0838970bcc,0,sha256:8290a0488a3254f842e2a57e0a4fe073a4f31b5c4bd15d3ad088d86dcf486af0,ruby-buildpack-release,final-build,,,
ff54dba5-201c-4467-4e41-befc8634e710,dotnet-core-buildpack/dotnet-core_buildpack-cflinuxfs4-v2.4.24.zip,5443526,sha256:7bc42c200b16dfbdf464bee1a71507c1155c578e6465ae3bedfc61eca42ec4b4,dotnet-core-buildpack-release,71f520698e0d57ab70b8ca165b21ddde1827ea92,2024-02-19 08:03:37 +0000,Buildpacks Releng CI,"2.4.24,2.4.25,2.4.26,2.4.27,2.4.28"
ff4917cf-dace-4274-4926-a8521fee7a8e,rootfs/cflinuxfs4-1.192.0.tar.gz,438344825,sha256:ad3733822cbbbd8b4e18485b2e21a575574393067d56feb850a63ca4ccef1925,cflinuxfs4-release,3a1f186324383912ffa1312c6ea7bb3b45a5e7c3,2024-11-09 16:42:24 +0000,CF Buildpacks Team CI Server,"1.280.0,1.281.0,v1.192.0,v1.193.0,v1.194.0"
ff40196e-e8a6-4165-64a1-2bca400c99ca,nginx-buildpack/nginx_buildpack-cflinuxfs4-v1.2.13.zip,7900838,sha256:6adb381aea1fc7f1066e25eb4348317c39b7aef6d5c899ba78e4e1b7b2139858,nginx-buildpack-release,6b2d01e6c8b553f4a50fda86239287d44d4c8ee0,2024-04-15 07:05:21 +0000,Buildpacks Releng CI,"1.2.13,1.2.14,1.2.15,1.2.17,1.2.18"
ff1be34e-6af1-4d03-6eba-ae57fd8589d4,packages/python-buildpack-cflinuxfs3/a4e53eb3006b,0,sha256:323af601666281d653c250c94970582c64773a16fe0f9fb2cb3a34da7b0b5f79,python-buildpack-release,final-build,,,
feeda8f2-f95d-4f28-5c32-af5995198902,rootfs/cflinuxfs4-1.237.0.tar.gz,438755922,sha256:b137a510becf43f46d2224e7e9f6e6dbcb6c4dfc59c9cbb9501db2774fa3e15f,cflinuxfs4-release,87f59dfe647c74fc9ceec90fde5f98caf855d2e5,2024-12-23 16:35:04 +0000,CF Buildpacks Team CI Server,"1.280.0,1.281.0,v1.237.0,v1.238.0,v1.239.0"
feea67cf-a44e-43c7-7887-65e80fe11618,packages/cflinuxfs4/eec34fa48a88,0,sha256:2eae7e63d162714143e4258cbdd462a6c6146d753cbb9a075f7772421ddf6d69,cflinuxfs4-release,final-build,,,
fee08703-2792-4367-65d4-839390f5ee1d,packages/cflinuxfs3/1e064aa42956,0,sha256:eafde784887cef4dc49020765b28bee539145eaaeac5a310016942270aa75120,cflinuxfs3-release,final-build,,,
fedfa0a0-4e47-4f84-4de0-83bb0d4c8619,php-buildpack/php_buildpack-cflinuxfs3-v4.6.16.zip,8324885,sha256:1f2d24636e08e98398463e62a64734eecd571991774d35f656ce759af29c5277,php-buildpack-release,381d09ca177d227ad6f116fdc2db6304df7fbd38,2024-03-07 08:05:23 +0000,Buildpacks Releng CI,"4.6.16,4.6.17,4.6.18,4.6.19,4.6.20"
fed82d8e-a3ee-4c50-679d-234d465b33bc,packages/cflinuxfs4/d14c9973661c,0,sha256:b2f39fc8a1773c60fc1344f677753052346af272c2834ad43fdfaeab362faa65,cflinuxfs4-release,final-build,,,
fed65b2d-204f-4cae-52aa-cc6d975565e2,nginx-buildpack/nginx_buildpack-cflinuxfs3-v1.1.15.zip,9318231,sha256:60d960b9401dd05e97fd2394b96f68438a30cc7b38eeabdc1bbf32e990d312c7,nginx-buildpack-release,614dac62d3ad9ed6d9cf703ae205e2ff37f3e585,2020-09-01 07:03:29 +0000,Buildpacks Releng CI,"1.1.15,1.1.16,1.1.18,1.1.19,1.1.20"
